Subclass,Code,Name,Party,Middleschool,Highschool,University,Major,Homeland,Religion,Birthday,Photo
E,Honam,이낙연,Democratic,None,광주제일고,서울대,법학,영광,기독교,1952,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F48%2F201706261421162371.png
G,Brother,이재명,Democratic,None,None,중앙대,법학,안동,None,1964,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F125%2F201803262201028001.jpg
F,Lim,임종석,Democratic,None,용문고,한양대,무기재료,장흥,None,1966,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F106%2F201112291745529941.jpg
K,Gaecheon,조국,Democratic,대신중,혜광고,서울대,법학,부산,None,1965,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F186%2F201803261704508471.jpg
L,Kim,김부겸,Democratic,대구중,경북고,서울대,정치학,상주,기독교,1958,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F201706%2F20170623104858961.jpg
H,Metoo,안희정,Democratic,연무중,검정고시,고려대,철학,논산,None,1965,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F77%2F201711281600058731.jpg
B,Hwang,황교안,Liberty,None,경기고,성균관대,법학,서울,기독교,1957,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F128%2F201607111851337911.png
C,5years,오세훈,Liberty,중동중,대일고,고려대,법학,서울,None,1961,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F201510%2F20151029172532624-8786565.jpeg
A,Red,홍준표,Liberty,영남중,영남고,고려대,행정학,창녕,None,1954,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F17%2F201212031443469161.jpg
D,Citizen,유시민,Justice,None,심인고,서울대,경제학,경주,None,1959,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F115%2F201004071641103231.jpg
F,Ryu,유승민,Future,대륜중,경북고,서울대,경제학,대구,None,1958,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F98%2F201903071658432111.jpg
J,Gan,안철수,Future,None,부산고,서울대,의학,부산,None,1962,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2Fportrait%2F201811%2F20181106194642351.jpg
M,Oil,반기문,None,충주중,충주고,서울대,외교학,음성,None,1944,https://search.pstatic.net/common?type=a&size=120x150&quality=95&direct=true&src=http%3A%2F%2Fsstatic.naver.net%2Fpeople%2F160%2F201701241818597141.jpg
