Class1,Class2,Class3,Class4,Reason,StockCode,StockName
P,SU,A,0,D,013000,세우글로벌
P,SU,A,0,B,058400,KNN
P,SU,A,0,D,078590,두올산업
P,SU,A,0,D,012280,영화금속
P,SU,B,0,C,050860,아세아텍
P,SU,B,0,F,058860,케이티스
P,SU,B,0,A,009460,한창제지
P,SU,B,0,A,017250,인터엠
P,SU,B,0,A,049800,우진플라임
P,SU,B,0,A,060480,국일신동
P,SU,B,0,F,058850,KTcs
P,SU,B,0,A,014160,대영포장
P,SU,B,0,C,006090,사조오양
P,SU,B,0,C,006370,대구백화점
P,SU,B,0,C,016920,카스
P,SU,B,0,C,033830,티비씨
P,SU,B,0,E,037370,EG
P,SU,B,0,A,012340,뉴인텍
P,SU,B,0,A,014915,성문전자우
P,SU,B,0,A,014910,성문전자
P,SU,B,0,G,065440,이루온
P,SU,B,0,A,019770,서연탑메탈
P,SU,B,0,A,012790,신일제약
P,SU,B,0,A,226360,이엑스티
P,SU,B,0,E,113810,디젠스
P,SU,B,0,E,011420,갤럭시아에스엠
P,SU,B,0,A,053060,세동
P,SU,B,0,A,134060,이퓨처
P,SU,B,0,A,089790,제이티
P,SU,B,0,G,039290,인포뱅크
P,SU,B,0,F,226440,한송네오텍
P,SU,B,0,E,024900,덕양산업
P,SU,C,0,A,051630,진양화학
P,SU,C,0,A,003780,진양산업
P,SU,C,0,A,007370,진양제약
P,SU,C,0,A,010640,진양폴리
P,SU,C,0,A,100250,진양홀딩스
P,SU,C,0,D,002785,진흥기업우B
P,SU,C,0,A,051160,지어소프트
P,SU,D,0,E,000890,보해양조
P,SU,D,0,G,072130,유엔젤
P,SU,D,0,A,010240,흥국
P,SU,D,0,A,093380,풍강
P,SU,D,0,E,016670,포비스티앤씨
P,SU,D,0,A,001515,SK증권우
P,SU,D,0,E,118000,우리들휴브레인
P,SU,D,0,E,004720,우리들제약
P,SU,D,0,A,057030,와이비엠넷
P,SU,D,0,E,001380,SG충방
P,SU,D,0,A,099520,ITX엠투엠
P,SU,D,0,E,099520,ITX엠투엠
P,SU,D,0,E,128660,피제이메탈
P,SU,D,0,A,041460,한국전자인증
P,SU,E,0,F,008350,남선알미늄
P,SU,E,0,F,008355,남선알미우
P,SU,E,0,F,082740,HSD엔진
P,SU,E,0,E,058730,다스코
P,SU,E,0,A,068050,팬엔터테인먼트
P,SU,E,0,G,068050,팬엔터테인먼트
P,SU,E,0,B,068050,팬엔터테인먼트
P,SU,E,0,A,111870,삼본정밀전자
P,SU,E,0,B,111870,삼본정밀전자
P,SU,F,0,H,020180,대신정보통신
P,SU,F,0,H,002290,삼일기업공사
P,SU,F,0,H,099220,SDN
P,SU,F,0,H,004780,대륙제관
P,SU,F,0,H,155660,DSR
P,SU,F,0,H,069730,DSR제강
P,SU,F,0,H,094190,이엘케이
P,SU,F,0,B,005670,푸드웰
P,SU,F,0,F,011370,서한
P,SU,G,0,E,045660,에이텍
P,SU,G,0,E,224110,에이텍티앤
P,SU,G,0,A,045340,토탈소프트
P,SU,G,0,E,062860,티엘아이
P,SU,G,0,A,204840,지엘팜텍
P,SU,G,0,A,053160,프리엠스
P,SU,G,0,B,025950,동신건설
P,SU,G,0,E,020710,시공테크
P,SU,G,0,A,066130,하츠
P,SU,G,0,A,050110,캠시스
P,SU,G,0,A,158310,인터불스
P,SU,G,0,A,129260,인터지스
P,SU,G,0,E,208140,정다운
P,SU,G,0,E,050890,쏠리드
P,SU,G,0,D,093240,형지엘리트
P,SU,G,0,E,065500,오리엔트정공
P,SU,H,0,B,044180,KD건설
P,SU,H,0,A,046310,백금T&A
P,SU,H,0,E,001380,SG충방
P,SU,I,0,A,083660,CSA코스믹
P,SU,I,0,E,133820,화인베스틸
P,SU,I,0,E,023790,동일철강
P,SU,I,0,F,046210,파나진
P,SU,I,0,A,096610,알에프세미
P,SU,I,0,A,187790,나노
P,SU,I,0,G,053610,프로텍
P,SU,J,0,E,004770,써니전자
P,SU,J,0,E,053800,안랩
P,SU,J,0,E,093640,다믈멀티미디어
P,SU,J,0,E,001420,태원물산
P,SU,J,0,A,049480,오픈베이스
P,SU,J,0,E,049480,오픈베이스
P,SU,J,0,G,048830,엔피케이
P,SU,J,0,E,039740,한국정보공학
P,SU,J,0,A,025880,케이씨피드
P,SU,J,0,G,025880,케이씨피드
P,SU,J,0,E,006980,우성사료
P,SU,K,0,G,009620,삼보산업
P,SU,K,0,B,009620,삼보산업
P,SU,K,0,G,003680,한성기업
P,SU,K,0,B,003680,한성기업
P,SU,K,0,A,014160,대영포장
P,SU,K,0,A,005110,한창
P,SU,K,0,B,005110,한창
P,SU,K,0,E,006980,우성사료
P,SU,K,0,B,035810,이지바이오
P,SU,K,0,B,045340,토탈소프트
P,SU,K,0,B,013030,하이록코리아
P,SU,L,0,F,039310,세중
P,SU,L,0,F,036560,영풍정밀
P,SU,L,0,A,019180,티에이치엔
P,SU,L,0,G,019180,티에이치엔
P,SU,L,0,F,010130,고려아연
P,SU,L,0,G,136540,원스
P,SU,L,0,A,006050,국영지앤엠
P,SU,M,0,E,005110,한창
P,SU,M,0,F,109610,에스와이패널
P,SU,M,0,E,025880,케이씨피드
P,SU,M,0,F,065060,지엔코
P,SU,M,0,F,040350,큐로컴
P,SU,M,0,F,051780,큐로홀딩스
P,SU,M,0,E,002900,동양물산
P,SU,M,0,A,050090,휘닉스소재
P,SU,M,0,A,037460,삼지전자
P,SU,M,0,B,049800,우진플라임
P,SU,M,0,G,011930,신성이엔지
P,SU,M,0,A,027830,대성창투
P,SU,M,0,H,027830,대성창투
P,SU,M,0,G,057030,와이비엠넷
P,SU,M,0,A,023600,삼보판지
P,SU,M,0,A,036890,진성티이씨
P,SU,M,0,A,048430,유라테크
P,SU,M,0,A,021050,서원
P,SU,M,0,H,021050,서원
P,SU,M,0,A,058450,일야
P,SU,M,0,B,065170,넥스트BT
P,SU,M,0,F,006910,보성파워텍
N,PO,NK,A,0,054930,유신
N,PO,NK,A,0,094940,푸른기술
N,PO,NK,A,0,068240,다원시스
N,PO,NK,A,0,108380,대양전기공업
N,PO,NK,A,0,064510,에코마이스터
N,PO,NK,A,0,033100,제룡전기
N,PO,NK,A,0,045390,대아티아이
N,PO,NK,A,0,017510,세명전기
N,PO,NK,A,0,100660,서암기계공업
N,PO,NK,A,0,058610,에스피지
N,PO,NK,A,0,046940,우원개발
N,PO,NK,A,0,017480,삼현철강
N,PO,NK,A,0,054180,중앙오션
N,PO,NK,A,0,039980,리노스
N,PO,NK,A,0,215090,한컴유니맥스
N,PO,NK,A,0,006050,국영지앤엠
N,PO,NK,A,0,024740,한일단조
N,PO,NK,A,0,054220,비츠로시스
N,PO,NK,A,0,096040,이트론
N,PO,NK,A,0,026150,특수건설
N,PO,NK,B,0,025750,한솔홈데코
N,PO,NK,B,0,043910,자연과환경
N,PO,NK,B,0,008250,이건산업
N,PO,NK,C,0,003240,태광산업
N,PO,NK,C,0,192400,쿠쿠홀딩스
N,PO,NK,C,0,033240,자화전자
N,PO,NK,C,0,009270,신원
N,PO,NK,C,0,001260,남광토건
N,PO,NK,C,0,026040,제이에스티나
N,PO,NK,C,0,014990,인디에프
N,PO,NK,C,0,033340,좋은사람들
N,PO,NK,C,0,007980,태평양물산
N,PO,NK,C,0,049630,재영솔루텍
N,PO,NK,C,0,023800,인지컨트롤스
N,PO,NK,D,0,154030,아시아종묘
N,PO,NK,D,0,290380,대유
N,PO,NK,D,0,001420,태원물산
N,PO,NK,D,0,001550,조비
N,PO,NK,D,0,002100,경농
N,PO,NK,D,0,097870,효성오앤비
N,PO,NK,D,0,025860,남해화학
N,PO,NK,D,0,054050,농우바이오
N,PO,NK,D,0,007590,동방아그로
N,PO,NK,D,0,014580,백광소재
N,PO,NK,D,0,003380,하림지주
N,PO,NK,D,0,006980,우성사료
N,PO,NK,D,0,002140,고려산업
N,PO,NK,D,0,005860,한일사료
N,PO,NK,D,0,027710,팜스토리
N,PO,NK,D,0,035810,이지바이오
N,PO,NK,D,0,036580,팜스코
N,PO,NK,D,0,016790,현대사료
N,PO,NK,E,0,006910,보성파워텍
N,PO,NK,E,0,147830,제룡산업
N,PO,NK,E,0,017040,광명전기
N,PO,NK,E,0,042370,비츠로테크
N,PO,NK,E,0,006340,대원전선
N,PO,NK,E,0,007610,선도전기
N,PO,NK,E,0,189860,서전기전
N,PO,NK,E,0,237750,피앤씨테크
N,PO,NK,E,0,024810,이화전기
N,PO,NK,E,0,036620,버추얼텍
N,PO,NK,E,0,017510,세명전기
N,PO,NK,E,0,103590,일진전기
N,PO,NK,F,0,025980,아난티
N,PO,NK,F,0,011200,현대상선
N,PO,NK,F,0,017800,현대엘리베이
N,PO,NK,F,0,054300,팬스타엔터프라이즈
N,PO,NK,F,0,007110,일신석재
N,PO,NK,F,0,039310,세중
N,PO,NK,F,0,007720,대명코퍼레이션
N,PO,NK,F,0,032350,롯데관광개발
N,PO,NK,F,0,005110,한창
N,PO,NK,G,0,081150,티플랙스
N,PO,NK,G,0,003010,혜인
N,PO,NK,G,0,010040,한국내화
N,PO,NK,G,0,009520,포스코엠텍
N,PO,NK,G,0,000910,유니온
N,PO,NK,G,0,011760,현대상사
N,PO,NK,G,0,128660,피제이메탈
N,PO,NK,H,0,002680,한탑
